Chisu	MYSTEERI	M	COV15
Eila Pellinen	ONNI JONKA ANNOIN POIS	M	COV15
Esko Rahkonen	SINNE AINIAAKSI JÄÄN (Griechischer Wein)	M	COV15
Ilta	KELLE MÄ SOITAN	M	COV15
Kari Tapio	KUIN LAPSENA ENNEN	M	COV15
Maija Vilkkumaa	VIIMEINEN ELÄMÄ	M	COV15
Mariska	TERVEISIN DORIS	M	COV15
Marko Maunuksela	VANAMO	M	COV15
Mikko Alatalo	JOS SÄ MENET LAPPIIN (ÄLÄ ANNA MUILLE)	M	COV15
Paula Koivuniemi	VIE MINUT POIS	M	COV15
Portion Boys	KYLÄBAARI	M	COV15
Reijo Taipale	ILTATUULI KASVOILLAIN	M	COV15
Samu Haber	TÄÄLTÄ TULLAAN	M	COV15
Souvarit	MITÄ TÄLLÄ RAKKAUDELLA TEEN	M	COV15
Taneli Mäkelä	TANGO HUMIKO	M	COV15
Tauski Peltonen	ORANSSIN AURINGON ALLA	M	COV15
TT Purontaka	RAKKAANI	M	COV15
Tulipunaruusut	SATUTTAVAT SANAT	M	COV15
Turo's Hevi Gee	ROCKMUUSIKON ROKULIPÄIVÄ (Pop laulajan vapaapäivä)	M	COV15
Annikki Tähti	BALLADI OLAVINLINNASTA	M	COV16
Eija Kantola	YÖSSÄ SIELUJEN	M	COV16
Eino Valtanen	SURULLINEN SOITTAJA	M	COV16
Esko Rahkonen	HERNANDON KAPAKKA	M	COV16
Esko Rahkonen	YÖN HILJAISUUDESSA	M	COV16
Georg Malmsten	TOTISEN POJAN JENKKA	M	COV16
Georg Ots	ÄLÄ KIIRUHDA	M	COV16
Ilkka Vainio	JUHA WATT VAINION POIKA	M	COV16
Ilkka Vainio	VANHASSA VARA PAREMPI	M	COV16
Jamppa Tuominen	KADUN KASVATTI	M	COV16
Jarkko Honkanen	HAAVEIDEN HARHAA	M	COV16
Kaija Koo	SATEENKAARI PIMEESSÄ	M	COV16
Lea Laven	SORRY JOS OON LADY	M	COV16
Mertsi Meri	SUA KAIVATEN MÄ MUISTELEN	M	COV16
Reijo Taipale	KANGASTUS	M	COV16
Reijo Taipale	TUO SURU JONKA SAIN	M	COV16
Souvarit	VALKOHANKIEN MAA	M	COV16
Tarja Ylitalo	REVONTULIHUMPPA	M	COV16
Tuure Kilpeläinen ja Kaihon Karavaani	LUMOUS	M	COV16
Veikko Tuomi	LEHDETÖN PUU	M	COV16
Antti Huovila	KUUTAMON TYTTÖ	M	COV17
Eino Grön	KENTIES KENTIES KENTIES (Quizas Quizas Quizas)	M	COV17
Ilkka Vainio & Timo Kiiskinen	YSTÄVÄN RISTI	M	COV17
Janne Tulkki	SAIN KAUNIIN MAAN	M	COV17
Jarkko Honkanen	JÄÄN HAAVEISIIN	M	COV17
Jope Ruonansuu	ENKELEITÄ TOISILLEMME	M	COV17
Juha Tapio	VALITSISIN SUT	M	COV17
Kaija Lustila	ONNEMME KYYNELEET	M	COV17
Kari Tapio	ALUMIINITÄHDET	M	COV17
Kirka	NIIN PALJON SE SATTUU	M	COV17
Lauri Tähkä	KESKIYÖN COWBOY	M	COV17
Mikko Alatalo	AJOLÄHTÖ	M	COV17
Olli Halonen	POHJOLA	M	COV17
Pedro's Heavy Gentlemen	MILJOONAN MARKAN PAKARAT	M	COV17
PMMP	AATSIPOPPAA	M	COV17
Portion Boys & Matti ja Teppo	VAUHTI KIIHTYY	M	COV17
Saija Tuupanen	KUURASYDÄN	M	COV17
Sanni	KESKEN	M	COV17
Tauski Peltonen	TULE MINUT HAKEMAAN TÄÄLTÄ POIS	M	COV17
Topi Sorsakoski & Agents	KAIPAAN SUA TWIST (Kulkurin Kaiho)	M	COV17
Anki ja Suvi Teräsniska	NIIN AIKAISIN (Var det du)	M	COV18
BESS	RAM PAM PAM	M	COV18
Juhamatti	HAIKEUS	M	COV18
Juice Leskinen	MIMOSAN HIPIÄ	M	COV18
Jukka Raitanen	MUA HYVÄILE TOUKOKUU	M	COV18
JVG	VIIKONLOPPU	M	COV18
Kake Randelin	KESÄKSI KOTIIN	M	COV18
Lauri Tähkä	NUKKUVAT AAMUT	M	COV18
